PackageName,OnCran,Install,GitHubUsername,Description
colorspace,TRUE,TRUE,,Explicit control over the HCL color scheme.
curl,FALSE,FALSE,,Interact with the web APIs.
dplyr,TRUE,TRUE,,Important for most of our data manipulation.
ggplot2,TRUE,TRUE,,Graphing.
ggthemes,FALSE,TRUE,,"Extra themes, scales and geoms for ggplot."
ggmap,FALSE,TRUE,,"Maps & graphics, based on ggplot."
grid,FALSE,TRUE,,foundation underneath ggplot2.
gridExtra,FALSE,TRUE,,Additional functions for manipulating `grid` objects.
knitr,TRUE,TRUE,,For reporting.
lubridate,FALSE,TRUE,,Consistent/convenient function signatures for manipulating dates.
RColorBrewer,TRUE,TRUE,,Explicit control over the Color Brewer colors.  See http://colorbrewer2.org/.
roxygen2,TRUE,FALSE,,Creates documentation Rd file from (well-formed) comments.
testit,TRUE,TRUE,,Has the useful `assert()` function.
testthat,FALSE,TRUE,hadley,Heavier testing framework that's good for package development.
tidyr,FALSE,TRUE,,Data manipulation not covered in dplyr.
